k,tag,cp,error,x_cal,y_cal,x_est,y_est,node_count
9,07614B78,W_14,18.439578186694543,185864.669326024,447905.98137627915,185872.67814529486,447922.5909174405,39
9,66782A34,W_14,11.77374286690656,185864.669326024,447905.98137627915,185869.2753378504,447916.81676626526,37
9,072A5219,W_15,21.178391888160984,185863.84848276142,447880.99853847845,185854.15905746457,447862.1666686726,37
9,07614B78,W_15,2.141468563890934,185863.84848276142,447880.99853847845,185862.01775530275,447882.1095400906,38
9,66782A34,W_15,9.407205762265399,185863.84848276142,447880.99853847845,185862.07147269938,447890.2363821388,37
9,66782A34,W_16,15.288156249680952,185863.02764224046,447856.0157004754,185861.04504850597,447871.1747586123,39
9,072A5219,W_16,9.877345789191237,185863.02764224046,447856.0157004754,185853.70747953295,447852.74514594366,37
9,07614B78,W_16,28.51231853477184,185863.02764224046,447856.0157004754,185855.91078880557,447883.6255303447,38
9,66782A34,W_17,30.794122758256545,185862.20680446044,447831.03286227916,185860.64256587406,447861.7872303282,38
9,072A5219,W_17,25.76295037336654,185862.20680446044,447831.03286227916,185849.14335166354,447853.2381727468,35
9,07614B78,W_17,16.73910900779739,185862.20680446044,447831.03286227916,185854.70026948134,447845.9944699128,38
9,072A5219,W_18,16.685137544375525,185861.38596942142,447806.0500238694,185847.58588303791,447815.4282662784,38
9,07614B78,W_18,25.161612145278877,185861.38596942142,447806.0500238694,185857.02944187698,447830.8316177145,40
9,66782A34,W_18,58.714036331838024,185861.38596942142,447806.0500238694,185855.47950154787,447864.4662176827,38
9,07614B78,W_19,28.137659176469295,185860.5651371245,447781.06718527677,185871.84481180608,447806.8450207757,40
9,66782A34,W_19,48.2427257905613,185860.5651371245,447781.06718527677,185862.14934465644,447829.2838927359,38
9,072A5219,W_19,32.131121201330295,185860.5651371245,447781.06718527677,185879.73312522157,447806.8547245538,38
9,072A5219,W_2,16.148657342118028,185880.623039009,447630.3493350636,185895.3435207919,447636.98910539335,31
9,07614B78,W_2,40.21342636026053,185880.623039009,447630.3493350636,185895.6852324169,447667.6353912961,37
9,66782A34,W_2,24.309732866230654,185880.623039009,447630.3493350636,185870.9456462946,447652.6498099975,31
9,072A5219,W_20,8.364575041859501,185859.7443075679,447756.0843464715,185851.8858055177,447758.94966690004,39
9,07614B78,W_20,8.313463420258483,185859.7443075679,447756.0843464715,185859.69556953205,447747.7710259169,40
9,66782A34,W_20,3.215709473996586,185859.7443075679,447756.0843464715,185856.73805493207,447757.22593856626,39
9,072A5219,W_21,11.814737824025585,185858.92348075335,447731.10150746885,185864.13626783033,447720.4989190707,36
9,07614B78,W_21,32.43208077148122,185858.92348075335,447731.10150746885,185877.18164938368,447757.90596869146,37
9,66782A34,W_21,37.02893429970048,185858.92348075335,447731.10150746885,185847.00714980505,447766.1606436833,37
9,072A5219,W_22,35.29942101383601,185858.10265667964,447706.1186682722,185885.25478642253,447683.5618295235,33
9,07614B78,W_22,43.458674814201686,185858.10265667964,447706.1186682722,185893.05978053913,447731.93834890693,36
9,66782A34,W_22,28.221597789825378,185858.10265667964,447706.1186682722,185862.73382208988,447678.27965089097,35
9,072A5219,W_23,26.76060327212739,185857.2818353469,447681.13582886424,185867.0769779279,447656.23231366446,33
9,07614B78,W_23,17.301648985607287,185857.2818353469,447681.13582886424,185874.18376164578,447684.8333881955,33
9,66782A34,W_23,7.049935263911146,185857.2818353469,447681.13582886424,185850.28745531317,447682.0191380792,33
